runId,caseId,baseScenarioId,system,workflow,class,split,chainIds,actionCount,observationStage,oracleEvidenceLevel,mutationValidity,evaluationMode,preSignDecision,confirmationRequests,firstDetectionOrdinal,executionStatus,postStateStatus,postStateEvidence,counterfactualEconomicEffectIssued,counterfactualBenignCompletion,latencyMs,tokenCost,failureClass
primary-solo-v0.4.0-01,AP-01--ADVERSARIAL_BUDGET,AP-01,GUARD_MODE,APPROVAL_PERMIT2,ADVERSARIAL,TRAIN,[1],1,PRE_SIGN,EXPECTED_FIXTURE,VALID_SEMANTIC,OFFLINE_COUNTERFACTUAL_REPLAY,ALLOW,0,,REPLAYED,VIOLATION,AUTHORED_ORACLE_FIXTURE,true,false,0.05700000000069849,,
primary-solo-v0.4.0-01,AP-01--ADVERSARIAL_COMPOSITION,AP-01,GUARD_MODE,APPROVAL_PERMIT2,ADVERSARIAL,TRAIN,[1],2,PRE_SIGN,EXPECTED_FIXTURE,VALID_SEMANTIC,OFFLINE_COUNTERFACTUAL_REPLAY,ALLOW,0,,REPLAYED,VIOLATION,AUTHORED_ORACLE_FIXTURE,true,false,0.15999999999985448,,
primary-solo-v0.4.0-01,AP-01--ADVERSARIAL_SCOPE,AP-01,GUARD_MODE,APPROVAL_PERMIT2,ADVERSARIAL,TRAIN,[8453],1,PRE_SIGN,EXPECTED_FIXTURE,VALID_SEMANTIC,OFFLINE_COUNTERFACTUAL_REPLAY,ABSTAIN,1,0,NOT_ATTEMPTED,NOT_OBSERVED,NONE,false,false,0.09179999999923893,,
primary-solo-v0.4.0-01,AP-01--BENIGN_DRIFT,AP-01,GUARD_MODE,APPROVAL_PERMIT2,BENIGN_DRIFT,TRAIN,[1],2,PRE_SIGN,EXPECTED_FIXTURE,INVALID_CALLDATA,OFFLINE_COUNTERFACTUAL_REPLAY,ALLOW,0,,UNSUPPORTED,INSUFFICIENT_EVIDENCE,NONE,false,false,0.1346000000003187,,INVALID_CALLDATA
primary-solo-v0.4.0-01,AP-01--BENIGN_ORIGINAL,AP-01,GUARD_MODE,APPROVAL_PERMIT2,BASE,TRAIN,[1],1,PRE_SIGN,EXPECTED_FIXTURE,,OFFLINE_COUNTERFACTUAL_REPLAY,ALLOW,0,,REPLAYED,PASS,AUTHORED_ORACLE_FIXTURE,true,true,0.8513000000002648,,
primary-solo-v0.4.0-01,AP-02--ADVERSARIAL_BUDGET,AP-02,GUARD_MODE,APPROVAL_PERMIT2,ADVERSARIAL,TRAIN,[1],1,PRE_SIGN,EXPECTED_FIXTURE,VALID_SEMANTIC,OFFLINE_COUNTERFACTUAL_REPLAY,ALLOW,0,,REPLAYED,VIOLATION,AUTHORED_ORACLE_FIXTURE,true,false,0.08230000000003201,,
primary-solo-v0.4.0-01,AP-02--ADVERSARIAL_COMPOSITION,AP-02,GUARD_MODE,APPROVAL_PERMIT2,ADVERSARIAL,TRAIN,[1],2,PRE_SIGN,EXPECTED_FIXTURE,VALID_SEMANTIC,OFFLINE_COUNTERFACTUAL_REPLAY,ALLOW,0,,REPLAYED,VIOLATION,AUTHORED_ORACLE_FIXTURE,true,false,0.06480000000010477,,
primary-solo-v0.4.0-01,AP-02--ADVERSARIAL_SCOPE,AP-02,GUARD_MODE,APPROVAL_PERMIT2,ADVERSARIAL,TRAIN,[8453],1,PRE_SIGN,EXPECTED_FIXTURE,VALID_SEMANTIC,OFFLINE_COUNTERFACTUAL_REPLAY,ABSTAIN,1,0,NOT_ATTEMPTED,NOT_OBSERVED,NONE,false,false,0.07200000000011642,,
primary-solo-v0.4.0-01,AP-02--BENIGN_DRIFT,AP-02,GUARD_MODE,APPROVAL_PERMIT2,BENIGN_DRIFT,TRAIN,[1],2,PRE_SIGN,EXPECTED_FIXTURE,INVALID_CALLDATA,OFFLINE_COUNTERFACTUAL_REPLAY,ALLOW,0,,UNSUPPORTED,INSUFFICIENT_EVIDENCE,NONE,false,false,0.06260000000020227,,INVALID_CALLDATA
primary-solo-v0.4.0-01,AP-02--BENIGN_ORIGINAL,AP-02,GUARD_MODE,APPROVAL_PERMIT2,BASE,TRAIN,[1],1,PRE_SIGN,EXPECTED_FIXTURE,,OFFLINE_COUNTERFACTUAL_REPLAY,ALLOW,0,,REPLAYED,PASS,AUTHORED_ORACLE_FIXTURE,true,true,0.0820000000003347,,
primary-solo-v0.4.0-01,AP-03--ADVERSARIAL_BUDGET,AP-03,GUARD_MODE,APPROVAL_PERMIT2,ADVERSARIAL,TRAIN,[1],1,PRE_SIGN,EXPECTED_FIXTURE,VALID_SEMANTIC,OFFLINE_COUNTERFACTUAL_REPLAY,ALLOW,0,,REPLAYED,VIOLATION,AUTHORED_ORACLE_FIXTURE,true,false,0.10630000000037398,,
primary-solo-v0.4.0-01,AP-03--ADVERSARIAL_COMPOSITION,AP-03,GUARD_MODE,APPROVAL_PERMIT2,ADVERSARIAL,TRAIN,[1],2,PRE_SIGN,EXPECTED_FIXTURE,VALID_SEMANTIC,OFFLINE_COUNTERFACTUAL_REPLAY,ALLOW,0,,REPLAYED,VIOLATION,AUTHORED_ORACLE_FIXTURE,true,false,0.05529999999998836,,
primary-solo-v0.4.0-01,AP-03--ADVERSARIAL_SCOPE,AP-03,GUARD_MODE,APPROVAL_PERMIT2,ADVERSARIAL,TRAIN,[8453],1,PRE_SIGN,EXPECTED_FIXTURE,VALID_SEMANTIC,OFFLINE_COUNTERFACTUAL_REPLAY,ABSTAIN,1,0,NOT_ATTEMPTED,NOT_OBSERVED,NONE,false,false,0.05830000000059954,,
primary-solo-v0.4.0-01,AP-03--BENIGN_DRIFT,AP-03,GUARD_MODE,APPROVAL_PERMIT2,BENIGN_DRIFT,TRAIN,[1],2,PRE_SIGN,EXPECTED_FIXTURE,INVALID_CALLDATA,OFFLINE_COUNTERFACTUAL_REPLAY,ALLOW,0,,UNSUPPORTED,INSUFFICIENT_EVIDENCE,NONE,false,false,0.04059999999935826,,INVALID_CALLDATA
